<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Up)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 11), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 10), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Down)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (9, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Right)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
<(8, 0, 1), (10, 0, 9), , [0, 0], (Nothing, Nothing)>
