<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Nothing)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 9), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 10), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Up)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (3, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (4, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
<(6, 0, 7), (5, 0, 11), , [0, 0], (Nothing, Right)>
